row,payload,status,error
38,"{'batch_id': 18, 'measure_unit_id': 2, 'name': 'CERA. 33X46 ISABELA BLANCO BRILLO BOLD.', 'code': 'CERAISBCERA02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
39,"{'batch_id': 15, 'measure_unit_id': 2, 'name': 'CERA. 45X45 JATOBA CEREZO BRILLO BOLD', 'code': 'CERAJACFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
40,"{'batch_id': 68, 'measure_unit_id': 2, 'name': 'CERA. 40X40 JATOBA NAVAJO BRILLO', 'code': 'CERAJANFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
41,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 KHAYA MARRON MATE', 'code': 'CERAKHMFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
42,"{'batch_id': 80, 'measure_unit_id': 2, 'name': 'CERA. 32X62 LAJA AZUL RUSTICO BOLD', 'code': 'CERALAAGAUD02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
43,"{'batch_id': 24, 'measure_unit_id': 2, 'name': 'CERA. 56X56 56111 LAJA BRASILERO EXTERIOR', 'code': 'CERALABCRIS01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
44,"{'batch_id': 15, 'measure_unit_id': 2, 'name': 'CERA. 45X45 LADRILLO RUSTICO BOLD', 'code': 'CERALARBRAS01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
45,"{'batch_id': 4, 'measure_unit_id': 2, 'name': 'CERA. 15X60 LEGNO BIANCO TEXTURADO', 'code': 'CERALEBANGE01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
46,"{'batch_id': 63, 'measure_unit_id': 2, 'name': 'CERA. 22X34 LISTRADO AZUL BRILLO BOLD.', 'code': 'CERALIAFABO02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
47,"{'batch_id': 11, 'measure_unit_id': 2, 'name': 'CERA. 31X31 LIO BRASILERO BOLD.', 'code': 'CERALIBBRAS01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
48,"{'batch_id': 70, 'measure_unit_id': 2, 'name': 'CERA. 42X42 LIENZO CHOCOLATE MATE BOLD.', 'code': 'CERALICFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
49,"{'batch_id': 15, 'measure_unit_id': 2, 'name': 'CERA. 45X45 MADERA DIVAH', 'code': 'CERAMADBRAS01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
50,"{'batch_id': 4, 'measure_unit_id': 2, 'name': 'CERA. 15X60 MAINSTREET GRAY MATE', 'code': 'CERAMAGANGE02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
51,"{'batch_id': 22, 'measure_unit_id': 2, 'name': 'CERA. 60X60 MAGANDA PINO BRILLO', 'code': 'CERAMAPFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
52,"{'batch_id': 4, 'measure_unit_id': 2, 'name': 'CERA. 15X60 MAINSTREET GRAY TEXTURADO', 'code': 'CERAMGTANGE02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
53,"{'batch_id': 69, 'measure_unit_id': 2, 'name': 'CERA. 41X41 MILAZZO BRILLO BOLD', 'code': 'CERAMIBFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
54,"{'batch_id': 37, 'measure_unit_id': 1, 'name': 'SUPERFORTE 20kg', 'code': 'CEMESUPCALE03'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
55,"{'batch_id': 15, 'measure_unit_id': 2, 'name': 'CERA. 45X45 MONALISA BRILLO BOLD.', 'code': 'CERAMOBBRAS01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
56,"{'batch_id': 72, 'measure_unit_id': 2, 'name': 'CERA. 50X50 NATIVO MATE', 'code': 'CERANAMFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
57,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 PETRA GRIS EXTERIOR', 'code': 'CERAPEGFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
58,"{'batch_id': 70, 'measure_unit_id': 2, 'name': 'CERA. 42X42 PIEDRA BENET', 'code': 'CERAPIBFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
59,"{'batch_id': 22, 'measure_unit_id': 2, 'name': 'CERA. 60X60 PIEDRA BR RUSTICO', 'code': 'CERAPIBLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
60,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 QUEBEC GRIS MATE', 'code': 'CERAQUGFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
61,"{'batch_id': 70, 'measure_unit_id': 2, 'name': 'CERA. 42X42 RACK HD BRILLO BOLD', 'code': 'CERARAHFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
62,"{'batch_id': 70, 'measure_unit_id': 2, 'name': 'CERA. 42X42 RECIFE AZUL', 'code': 'CERAREAFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
63,"{'batch_id': 37, 'measure_unit_id': 1, 'name': 'SUPERFORTE PISCINA 20KG', 'code': 'CEMESUICALE03'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
64,"{'batch_id': 68, 'measure_unit_id': 2, 'name': 'CERA. 40X40 RIAZOR VERDE BRILLO', 'code': 'CERARIVFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
65,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 SIAN ROBLE BRILLO', 'code': 'CERASIRFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
66,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 SORENTO BEIGE BRILLO', 'code': 'CERASOBFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
67,"{'batch_id': 187, 'measure_unit_id': 2, 'name': 'CERA. 33X57 STYLLUS RUSTICO BOLD.', 'code': 'CERASTRTRIU02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
68,"{'batch_id': 70, 'measure_unit_id': 2, 'name': 'CERA. 42X42 TEBAS', 'code': 'CERATEBFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
69,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 VERMOUNT BLANCO', 'code': 'CERAVEBFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
70,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 VITONE BEIGE MATE', 'code': 'CERAVIBFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
71,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 VITONNE GRIS MATE', 'code': 'CERAVIGFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
72,"{'batch_id': 64, 'measure_unit_id': 2, 'name': 'CERA. 30X40 VOGUE BEIGE BRILLO', 'code': 'CERAVOBFABO02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
73,"{'batch_id': 19, 'measure_unit_id': 2, 'name': 'CERA. 43X43 WAVE BRANCO BRILLO BOLD', 'code': 'CERAWABCERA01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
74,"{'batch_id': 95, 'measure_unit_id': 2, 'name': 'GRES. 59X59 ALLESO BEIGE POL', 'code': 'GRESALBLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
75,"{'batch_id': 95, 'measure_unit_id': 2, 'name': 'GRES. 59X59 ALLESO GRIS POL', 'code': 'GRESALGLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
76,"{'batch_id': 28, 'measure_unit_id': 2, 'name': 'GRES 20X120 KANSAS AC', 'code': 'GRESAMGLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
77,"{'batch_id': 98, 'measure_unit_id': 2, 'name': 'GRES. 62X119 ASTURIAS POL', 'code': 'GRESASPLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
78,"{'batch_id': 49, 'measure_unit_id': 2, 'name': 'GRES. 45X90 BOTANICA AMARELO 3D', 'code': 'GRESBAALUME02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
79,"{'batch_id': 49, 'measure_unit_id': 2, 'name': 'GRES. 45X90 BOTANICA ATLANTIS TURQUESA TEXTURADO', 'code': 'GRESBATLUME02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
80,"{'batch_id': 95, 'measure_unit_id': 2, 'name': 'GRES. 59X59 CALACATTA BIANCO POL', 'code': 'GRESCABLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
81,"{'batch_id': 98, 'measure_unit_id': 2, 'name': 'GRES. 62X119 CARAVAGGIO POL', 'code': 'GRESCAPLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
82,"{'batch_id': 98, 'measure_unit_id': 2, 'name': 'GRES. 62X119 CALACATTA ROYALE POL', 'code': 'GRESCARLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
83,"{'batch_id': 98, 'measure_unit_id': 2, 'name': 'GRES. 62X119 CARRARA VECCHIO POL', 'code': 'GRESCAVLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
84,"{'batch_id': 7, 'measure_unit_id': 2, 'name': 'GRES. 60X60 FERRARA BLANCO SEMIBRILLO', 'code': 'GRESFEBGLAD01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
85,"{'batch_id': 95, 'measure_unit_id': 2, 'name': 'GRES. 59X59 FENIX GRIGGIO POL', 'code': 'GRESFEGLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
86,"{'batch_id': 98, 'measure_unit_id': 2, 'name': 'GRES 62X119 MARQUINA GOLD POL', 'code': 'GRESITPDELT01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
87,"{'batch_id': 33, 'measure_unit_id': 2, 'name': 'GRES 71X71 ITATAIA POL', 'code': 'GRESKAALUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
88,"{'batch_id': 101, 'measure_unit_id': 2, 'name': 'GRES. 85X85 KRONOS POL', 'code': 'GRESKRPLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
89,"{'batch_id': 99, 'measure_unit_id': 2, 'name': 'GRES. 63X120 LOTUS GRIS SEMIBRILLO', 'code': 'GRESLOGLUME02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
90,"{'batch_id': 95, 'measure_unit_id': 2, 'name': 'GRES. 59X59 MARMOL BIANCO POL', 'code': 'GRESMABLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
91,"{'batch_id': 49, 'measure_unit_id': 2, 'name': 'GRES. 45X90 MARRAKESH CRISTAL TEXTURADO', 'code': 'GRESMACLUME02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
